feature,importance
rolling_mean_3,0.19530794184200703
lag_1,0.19162631612315176
rolling_mean_6,0.16520573487861437
lag_3,0.13547589975243085
trend,0.13376309672277412
lag_2,0.11128862818822338
rolling_std_3,0.037022138527675504
lag_6,0.013977775790290175
lag_12,0.008850272027490922
year,0.0028015814571312686
rolling_std_6,0.002213400418842537
month,0.002089550481528523
quarter,0.0003776637898394616
