model,mape,rmse,mae,r2,directional_accuracy
SARIMA,15.143737566135504,702106.8220743494,623512.9853351151,-43.382108101002444,52.94117647058824
Random Forest,1.9402335449881407,133118.6183467282,82567.54795410665,-0.1883848698788988,31.818181818181817
XGBoost,2.358701926295176,159316.0530297078,100378.07608695653,-0.7021529743780794,54.54545454545454
