movie_title,original_title,director_name,actor_1_name,actor_2_name,actor_3_name,budget,gross,title_year,release_date,duration,vote_average,vote_count,popularity,genres,country,original_language,overview,tagline,tmdb_id,imdb_id
Animale,Animale,Emma Benestan,Oulaya Amamra,Damien Rebattel,Vivien Rodriguez,3800000,71924,2024,2024-09-20,98,6.806,18,48.6594,Fantasy|Drama|Horror,Belgium|France,fr,"Camargue, France - Nejma trains hard to win the local bullfighting competition. When she is mauled after a celebration, she starts to notice disturbing changes. News of a rogue bull on the loose terrifies the community, killing young men.",,1020822,tt27503400
Deadpool & Wolverine,Deadpool & Wolverine,Shawn Levy,Ryan Reynolds,Hugh Jackman,Emma Corrin,200000000,1338073645,2024,2024-07-24,128,7.6,7669,42.3129,Action|Comedy|Science Fiction,United States of America,en,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",Come together.,533535,tt6263850
Sonic the Hedgehog 3,Sonic the Hedgehog 3,Jeff Fowler,Jim Carrey,Ben Schwartz,Keanu Reeves,122000000,492162604,2024,2024-12-19,110,7.666,2908,39.7,Action|Science Fiction|Comedy|Family,United States of America|Japan,en,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",New adventure. New rival.,939243,tt18259086
The Wild Robot,The Wild Robot,Chris Sanders,Lupita Nyong'o,Pedro Pascal,Kit Connor,78000000,331982078,2024,2024-09-12,102,8.314,5315,32.9376,Animation|Science Fiction|Family,United States of America,en,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",Discover your true nature.,1184918,tt29623480
Mufasa: The Lion King,Mufasa: The Lion King,Barry Jenkins,Aaron Pierre,"Kelvin Harrison, Jr.",Tiffany Boone,200000000,722631756,2024,2024-12-18,118,7.369,2340,31.6705,Adventure|Family|Animation,United States of America,en,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",The story of an orphan who would be king.,762509,tt13186482
Inside Out 2,Inside Out 2,Kelsey Mann,Amy Poehler,Maya Hawke,Kensington Tallman,200000000,1698863816,2024,2024-06-11,97,7.55,6098,30.3605,Animation|Adventure|Comedy|Family,United States of America,en,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",Make room for new emotions.,1022789,tt22022452
The Substance,The Substance,Coralie Fargeat,Demi Moore,Margaret Qualley,Dennis Quaid,17500000,76506196,2024,2024-09-07,141,7.147,5003,29.7776,Drama|Horror|Science Fiction,France|United Kingdom,en,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",Have you ever dreamt of a better version of yourself?,933260,tt17526714
Anora,Anora,Sean Baker,Mikey Madison,Mark Eydelshteyn,Yura Borisov,6000000,56286295,2024,2024-10-14,139,7.0,2562,24.9427,Drama|Comedy|Romance,United States of America,en,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",Love is a hustle.,1064213,tt28607951
Dune: Part Two,Dune: Part Two,Denis Villeneuve,Timothée Chalamet,Zendaya,Rebecca Ferguson,190000000,714444358,2024,2024-02-27,167,8.134,6995,24.6653,Science Fiction|Adventure,United States of America,en,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",Long live the fighters.,693134,tt15239678
Kraven the Hunter,Kraven the Hunter,J.C. Chandor,Aaron Taylor-Johnson,Ariana DeBose,Fred Hechinger,130000000,62076533,2024,2024-12-11,127,6.502,1973,24.5929,Action|Adventure|Thriller,United States of America,en,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",Villains aren't born. They're made.,539972,tt8790086
Bad Boys: Ride or Die,Bad Boys: Ride or Die,Adil El Arbi,Will Smith,Martin Lawrence,Vanessa Hudgens,100000000,404547819,2024,2024-06-05,115,7.368,3020,23.7441,Action|Comedy|Crime|Thriller|Adventure,United States of America,en,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",Miami's finest are now its most wanted.,573435,tt4919268
Gladiator II,Gladiator II,Ridley Scott,Paul Mescal,Denzel Washington,Pedro Pascal,310000000,462180717,2024,2024-11-13,148,6.669,3813,23.4884,Action|Adventure|Drama,United States of America,en,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",Prepare to be entertained.,558449,tt9218128
Flow,Straume,Gints Zilbalodis,,,,3700000,17660107,2024,2024-08-29,85,8.158,2259,22.3017,Animation|Adventure|Fantasy|Family,Latvia|Belgium,lv,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",Surrender to the storm.,823219,tt4772188
Babygirl,Babygirl,Halina Reijn,Nicole Kidman,Harris Dickinson,Antonio Banderas,20000000,60934894,2024,2024-12-25,115,5.76,870,20.7443,Drama,United States of America|Netherlands,en,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,Get exactly what you want.,1097549,tt30057084
Godzilla x Kong: The New Empire,Godzilla x Kong: The New Empire,Adam Wingard,Rebecca Hall,Brian Tyree Henry,Dan Stevens,150000000,571750016,2024,2024-03-27,115,7.084,4315,20.262,Action|Adventure|Science Fiction,United States of America,en,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",Rise together or fall alone.,823464,tt14539740
The Beekeeper,The Beekeeper,David Ayer,Jason Statham,Emmy Raver-Lampman,Josh Hutcherson,35000000,152720535,2024,2024-01-08,106,7.291,3748,19.3439,Thriller|Action|Crime,United Kingdom|United States of America,en,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,Expose the corruption. Protect the hive.,866398,tt15314262
Nosferatu,Nosferatu,Robert Eggers,Lily-Rose Depp,Nicholas Hoult,Bill Skarsgård,50000000,181764515,2024,2024-12-25,133,6.71,3017,18.7513,Drama|Horror|Fantasy,United States of America,en,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",Succumb to the darkness.,426063,tt5040012
Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,George Miller,Anya Taylor-Joy,Chris Hemsworth,Tom Burke,168000000,174287546,2024,2024-05-22,149,7.466,4367,18.7496,Action|Science Fiction|Adventure,Australia|United States of America,en,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",Fury is born.,786892,tt12037194
Wicked,Wicked,Jon M. Chu,Cynthia Erivo,Ariana Grande,Michelle Yeoh,150000000,756085570,2024,2024-11-20,162,6.927,2375,18.0665,Drama|Romance|Fantasy,United States of America,en,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",Everyone deserves the chance to fly.,402431,tt1262426
IF,IF,John Krasinski,Cailey Fleming,Ryan Reynolds,John Krasinski,110000000,190309707,2024,2024-05-08,104,7.037,1419,17.3539,Comedy|Fantasy|Family,United States of America,en,"After discovering she can see everyone's imaginary friends, a girl embarks on a magical adventure to reconnect forgotten imaginary friends with their kids.",A story you have to believe to see.,639720,tt11152168
Transformers One,Transformers One,Josh Cooley,Chris Hemsworth,Brian Tyree Henry,Scarlett Johansson,75000000,128888103,2024,2024-09-11,104,8.048,1368,16.7994,Animation|Science Fiction|Adventure|Family,United States of America,en,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",Witness the origin.,698687,tt8864596
Smile 2,Smile 2,Parker Finn,Naomi Scott,Rosemarie DeWitt,Lukas Gage,28000000,138128854,2024,2024-10-16,127,6.601,1765,16.1695,Horror|Mystery,United States of America,en,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",It's the last thing you'll see.,1100782,tt29268110
Terrifier 3,Terrifier 3,Damien Leone,Lauren LaVera,David Howard Thornton,Samantha Scaffidi,2000000,90322103,2024,2024-10-09,125,6.8,1701,16.1202,Horror|Thriller,United States of America,en,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",Prepare to be terrified again.,1034541,tt27911000
The Ministry of Ungentlemanly Warfare,The Ministry of Ungentlemanly Warfare,Guy Ritchie,Henry Cavill,Eiza González,Alan Ritchson,60000000,29768915,2024,2024-04-18,120,7.075,1579,15.3658,Action|Comedy|War,United Kingdom|United States of America,en,"During World War II, the British Army assigns a group of competent soldiers to carry out a mission against the Nazi forces behind enemy lines... A true story about a secret British WWII organization — the Special Operations Executive. Founded by Winston Churchill, their irregular warfare against the Germans helped to change the course of the war, and gave birth to modern black operations.",Discover the first special forces mission in history.,799583,tt5177120
Elevation,Elevation,George Nolfi,Anthony Mackie,Morena Baccarin,Maddie Hasson,18000000,3300000,2024,2024-11-07,91,6.469,799,15.348,Action|Science Fiction|Thriller,United States of America,en,"Post-apocalyptic survivors find refuge in the Rocky Mountains to hide from giant, insect-like creatures that can't live above 8,000 feet. However, when one of them needs life-saving supplies, they risk it all to venture into the danger zone.",Don't go down without a fight.,1035048,tt23558280
The Crow,The Crow,Rupert Sanders,Bill Skarsgård,FKA twigs,Danny Huston,50000000,24109036,2024,2024-08-21,111,5.8,1115,15.1096,Action|Fantasy|Horror,France|Germany,en,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",True love never dies.,957452,tt1340094
A Quiet Place: Day One,A Quiet Place: Day One,Michael Sarnoski,Lupita Nyong'o,Joseph Quinn,Alex Wolff,67000000,261907653,2024,2024-06-26,100,6.706,2922,14.7213,Horror|Science Fiction|Thriller,United States of America,en,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",Hear how it all began.,762441,tt13433802
Civil War,Civil War,Alex Garland,Kirsten Dunst,Wagner Moura,Cailee Spaeny,50000000,126542249,2024,2024-04-10,109,6.857,3773,14.409,War|Action|Drama,Finland|United Kingdom,en,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",Welcome to the frontline.,929590,tt17279496
The Courier,El correo,Daniel Calparsoro,Arón Piper,María Pedraza,Luis Tosar,5400000,1751343,2024,2024-01-19,102,6.466,146,14.189,Thriller|Crime,Belgium|France,es,"After shrewdly seizing his chance to join a money-laundering scheme, a modest valet dives into a world of fast cash, fast cars — and an inevitable crash.",,1148713,tt27050277
The Lord of the Rings: The War of the Rohirrim,The Lord of the Rings: The War of the Rohirrim,Kenji Kamiyama,Brian Cox,Gaia Wise,Luke Pasqualino,30000000,20658572,2024,2024-12-05,134,6.594,679,14.1274,Animation|Fantasy|Adventure|Action,Japan|New Zealand,en,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",Hope has yet to abandon these lands.,839033,tt14824600
Challengers,Challengers,Luca Guadagnino,Zendaya,Mike Faist,Josh O'Connor,55000000,94182533,2024,2024-04-18,132,6.952,2313,14.0486,Drama|Romance,Italy|United States of America,en,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Major champion. To jolt him out of his recent losing streak, she signs him up for a ""Challenger"" event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi's former boyfriend.",Her game. Her rules.,937287,tt16426418
Amaran,அமரன்,Rajkumar Periasamy,Sivakarthikeyan,Sai Pallavi,Rahul Bose,14700000,39200000,2024,2024-10-31,169,7.383,240,13.2089,Action|Drama|Adventure|War,India,ta,"A heroic true story of Major Mukund Varadarajan, an Indian Army officer who displayed extraordinary bravery during a counterterrorism mission in Kashmir’s Shopian district. The film captures his courage in protecting his nation and the devotion of his wife Indhu Rebecaa Varghese.",,927342,tt27118357
The Prosecutor,誤判,Donnie Yen,Donnie Yen,Francis Ng Chun-Yu,Julian Cheung Chi-Lam,38500000,128093757,2024,2024-12-08,117,7.385,91,12.3693,Action|Drama|Crime|Thriller,China|Hong Kong,cn,"A poor young man is wrongly charged with drug trafficking after being deceived. An ex-prosecutor investigates the case, uncovers a corrupt lawyer team's scheme, and restores justice despite obstruction from evil forces.",Fight for justice.,1128650,tt30024043
Blink Twice,Blink Twice,Zoë Kravitz,Naomi Ackie,Channing Tatum,Alia Shawkat,20000000,46393906,2024,2024-08-21,102,6.675,1583,12.3263,Mystery|Thriller,United States of America,en,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. But despite the epic setting, beautiful people, ever-flowing champagne, and late-night dance parties, Frida can sense that there’s something sinister hiding beneath the island’s lush façade.",Are you having a good time?,840705,tt14858658
Panda Plan,熊猫计划,Zhang Luan,Jackie Chan,Shi Ce,Wei Xiang,25000000,42238170,2024,2024-10-01,99,6.864,228,11.8002,Action|Comedy,China,zh,"International action star Jackie Chan is invited to the adoption ceremony of a rare baby panda, but after an international crime syndicate attempts to kidnap the bear, Jackie has to save the bear using his stunt work skills.",,1160956,tt28630624
Joker: Folie à Deux,Joker: Folie à Deux,Todd Phillips,Joaquin Phoenix,Lady Gaga,Brendan Gleeson,190000000,207500287,2024,2024-10-01,138,5.425,2566,11.7501,Drama|Crime|Thriller,United States of America,en,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",The world is a stage.,889737,tt11315808
Borderlands,Borderlands,Eli Roth,Cate Blanchett,Kevin Hart,Edgar Ramírez,115000000,33017367,2024,2024-08-07,101,5.6,1281,11.7213,Action|Science Fiction|Comedy,United States of America|Luxembourg,en,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.",Chaos loves company.,365177,tt4978420
Longlegs,Longlegs,Osgood Perkins,Maika Monroe,Nicolas Cage,Blair Underwood,10000000,127961936,2024,2024-07-10,101,6.559,2214,11.6797,Crime|Horror|Thriller,Canada|United States of America,en,"FBI Agent Lee Harker is a gifted new recruit assigned to the unsolved case of an elusive serial killer. As the case takes complex turns, unearthing evidence of the occult, Harker discovers a personal connection to the merciless killer and must race against time to stop him before he claims the lives of another innocent family.",,1226578,tt23468450
Azrael,Azrael,E.L. Katz,Samara Weaving,Vic Carmen Sonne,Katariina Unt,12000000,631272,2024,2024-09-27,86,6.012,346,11.6459,Action|Horror|Thriller,United States of America,en,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.","Many years after the rapture… Among the survivors, some are driven to renounce their sin of Speech.",1029235,tt22173666
Ghostbusters: Frozen Empire,Ghostbusters: Frozen Empire,Gil Kenan,Mckenna Grace,Paul Rudd,Carrie Coon,100000000,201967521,2024,2024-03-20,115,6.5,1901,11.5528,Fantasy|Adventure|Comedy,United States of America,en,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second Ice Age.",It'll send a chill down your spine.,967847,tt21235248
The Count of Monte Cristo,Le Comte de Monte-Cristo,Alexandre de La Patellière,Pierre Niney,Bastien Bouillon,Anaïs Demoustier,46000000,75360860,2024,2024-06-28,178,8.0,1753,11.3771,Adventure|Action|Drama,France|Belgium,fr,"Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.","This is not vengeance, this is justice.",1084736,tt26446278
Project Silence,탈출: 프로젝트 사일런스,Kim Tae-gon,Lee Sun-kyun,Ju Ji-hoon,Kim Hie-won,14750000,6283415,2024,2024-07-11,96,6.986,355,11.3316,Thriller|Action|Horror|Science Fiction|Adventure,South Korea,ko,"Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks.",Every survivor is a target.,726139,tt25808194
Madame Web,Madame Web,S.J. Clarkson,Dakota Johnson,Sydney Sweeney,Isabela Merced,80000000,100498764,2024,2024-02-14,117,5.336,2315,11.2555,Action|Fantasy,United States of America,en,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.",Her web connects them all.,634492,tt11057302
Trap,Trap,M. Night Shyamalan,Josh Hartnett,Ariel Donoghue,Saleka Night Shyamalan,30000000,83677281,2024,2024-07-31,105,6.277,2417,11.0329,Thriller|Mystery|Crime|Horror,United States of America,en,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.","30,000 fans. 300 cops. 1 serial killer. No escape.",1032823,tt26753003
The Order,The Order,Justin Kurzel,Jude Law,Nicholas Hoult,Tye Sheridan,20000000,1970445,2024,2024-12-05,116,6.579,710,10.8894,Crime|Drama|Thriller,United Kingdom|United States of America,en,A string of violent robberies in the Pacific Northwest leads veteran FBI agent Terry Husk into a white supremacist plot to overthrow the federal government.,Based on the chilling true story.,1082195,tt26625693
The Watchers,The Watchers,Ishana Night Shyamalan,Dakota Fanning,Georgina Campbell,Olwen Fouéré,30000000,51147812,2024,2024-06-06,102,6.388,1365,10.7415,Fantasy|Horror|Mystery,United States of America|Ireland,en,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",Let them see you.,1086747,tt26736843
Panda Bear in Africa,Pandabeer in Afrika,Karsten Kiilerich,Yootha Wong-Loi-Sing,Maurits Delchot,Georgina Verbaan,10000000,5514627,2024,2024-03-15,94,7.0,71,10.7135,Animation|Adventure|Comedy|Family,Denmark|Estonia,nl,"A young adventurous panda travels from China to Africa to rescue his best friend, Jielong the Dragon, who has been kidnapped. On his journey, he discovers a strange amazing new world of mountains, deserts and jungles.",Bravery knows no size.,676685,tt13616980
Subservience,Subservience,SK Dale,Megan Fox,Michele Morrone,Madeline Zima,4400000,262793,2024,2024-08-15,105,6.665,837,10.6692,Science Fiction|Horror|Thriller,United States of America,en,"With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it.",Don't turn her on.,1064028,tt24871974
The Killer's Game,The Killer's Game,J.J. Perry,Dave Bautista,Sofia Boutella,Terry Crews,30000000,5928351,2024,2024-09-12,104,6.394,459,9.9436,Action|Comedy|Thriller,United States of America|United Kingdom,en,"When top hitman Joe Flood is diagnosed with a terminal illness, he decides to take matters into his own hands – by taking a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues and win back the love of his life before it's too late.",Winning is all in the execution.,507241,tt0327785
Damsel,Damsel,Juan Carlos Fresnadillo,Millie Bobby Brown,Brooke Carter,Nick Robinson,60000000,5000,2024,2024-03-07,107,7.0,2525,9.9419,Fantasy|Action|Adventure,Spain|United States of America,en,A young woman's marriage to a charming prince turns into a fierce fight for survival when she's offered up as a sacrifice to a fire-breathing dragon.,This is not a fairytale.,763215,tt13452446
Land of Bad,Land of Bad,William Eubank,Liam Hemsworth,Russell Crowe,Luke Hemsworth,18000000,7021101,2024,2024-02-09,113,7.275,1331,9.3098,Action|War|Thriller,United States of America|Australia,en,"When a Delta Force special ops mission goes terribly wrong, Air Force drone pilot Reaper has 48 hours to remedy what has devolved into a wild rescue operation. With no weapons and no communication other than the drone above, the ground mission suddenly becomes a full-scale battle when the team is discovered by the enemy.",No man left behind.,969492,tt19864802
Miller's Girl,Miller's Girl,Jade Halley Bartlett,Jenna Ortega,Martin Freeman,Bashir Salahuddin,4000000,1430985,2024,2024-01-18,93,6.384,856,9.0094,Thriller|Drama|Romance,United States of America,en,A talented young writer embarks on a creative odyssey when her teacher assigns a project that entangles them both.,Write what you want.,1026436,tt8310486
Harold and the Purple Crayon,Harold and the Purple Crayon,Carlos Saldanha,Zachary Levi,Lil Rel Howery,Zooey Deschanel,40000000,32227855,2024,2024-07-31,90,6.7,308,9.0065,Family|Comedy|Adventure|Fantasy,United States of America,en,"Inside of his book, adventurous Harold can make anything come to life simply by drawing it. After he grows up and draws himself off the book's pages and into the physical world, Harold finds he has a lot to learn about real life.",Everything he draws is about to get real.,826510,tt1609486
Speak No Evil,Speak No Evil,James Watkins,James McAvoy,Mackenzie Davis,Scoot McNairy,15000000,76756109,2024,2024-09-11,110,7.188,1693,8.8059,Horror|Thriller,United States of America,en,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",,1114513,tt27534307
Hellboy: The Crooked Man,Hellboy: The Crooked Man,Brian Taylor,Jack Kesy,Jefferson White,Adeline Rudolph,20000000,2014050,2024,2024-08-29,100,5.2,443,8.6764,Fantasy|Horror|Action,United States of America|Germany,en,"Hellboy and a rookie BPRD agent get stranded in 1950s rural Appalachia. There, they discover a small community haunted by witches, led by a local devil with a troubling connection to Hellboy's past: the Crooked Man.",Something crooked this way comes.,1087822,tt26757462
Elyas,Elyas,Florent-Emilio Siri,Roschdy Zem,Laëtitia Eïdo,Nabil Elouahabi,12460000,1359330,2024,2024-07-03,99,6.121,132,8.6639,Action|Thriller,France,fr,"Elyas, a former Special Forces soldier who has become paranoid since a mission in Afghanistan, is recruited to ensure the safety of Amina and her daughter Nour, 13 years old, both of whom came from the Middle East for the holidays. As he takes office, Elyas senses something is up.",,1154215,tt28336131
MaXXXine,MaXXXine,Ti West,Mia Goth,Elizabeth Debicki,Moses Sumney,1000000,22057160,2024,2024-07-04,103,6.334,1208,8.6273,Horror|Thriller,United States of America,en,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",Hollywood is a killer.,1023922,tt22048412
Late Night with the Devil,Late Night with the Devil,Cameron Cairnes,David Dastmalchian,Laura Gordon,Ian Bliss,2000000,15469415,2024,2024-03-19,93,7.116,1760,8.49,Horror,Australia|United Arab Emirates,en,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",Do not adjust your set.,938614,tt14966898
We Live in Time,We Live in Time,John Crowley,Andrew Garfield,Florence Pugh,Grace Delaney,20000000,37182814,2024,2024-10-10,108,7.303,1000,8.3754,Romance|Drama,United Kingdom,en,"An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.",Every minute counts.,1100099,tt27131358
The Forge,The Forge,Alex Kendrick,Aspen Kennedy Wilson,Priscilla C. Shirer,Cameron Arnett,5000000,40392664,2024,2024-08-22,123,8.298,294,8.3541,Drama|Family,United States of America,en,"19 year old Isaiah Wright lives for basketball and video games. A year out of high school, he has no job, no plans, and no idea how to be a man. At odds with his single mother Cynthia, Isaiah is given an ultimatum – to step up or move out. Feeling the pull from his friends and the push from his mom, Isaiah is hired by Moore Fitness, unaware of how the owner will personally impact his life. With the prayers of his mother and unexpected guidance from his new mentor, Isaiah is forced to deal with his past, sacrifice his selfishness and discover how God might have a greater purpose for his life.",Whoever wants the next generation the most will get them.,1186532,tt26731216
I'm Still Here,Ainda Estou Aqui,Walter Salles,Fernanda Torres,Selton Mello,Valentina Herszage,1480000,36109482,2024,2024-09-19,138,7.9,785,7.9589,Drama|History,Brazil|France,pt,A woman married to a former politician during the 1971 military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.,"When a mother's courage defies tyranny, hope is reborn.",1000837,tt14961016
Twilight of the Warriors: Walled In,九龍城寨之圍城,Cheang Pou-Soi,Raymond Lam Fung,Louis Koo,Sammo Hung Kam-Bo,38400000,95399186,2024,2024-05-01,125,7.0,377,7.9101,Action|Crime|Thriller,China|Hong Kong,cn,"In 1980s Hong Kong, troubled youth Chan Lok-kwun, a mainland refugee, struggles to survive in the Kowloon Walled City by joining underground fights. Betrayed by crime boss Mr. Big while trying to buy a fake ID, he steals drugs from him and seeks refuge in the Walled City, where he encounters Cyclone, a compassionate yet authoritative crime lord.",Don't cause trouble in the Walled City.,923667,tt20316748
Weekend in Taipei,Weekend in Taipei,George Huang,Luke Evans,Gwei Lun-Mei,Sung Kang,30000000,2826064,2024,2024-09-19,101,6.232,211,7.8846,Action|Adventure|Thriller,France|United States of America,en,"A former DEA agent and a former undercover operative revisit their romance during a fateful weekend in Taipei, unaware of the dangerous consequences of their past.",Pack for a long weekend.,1167271,tt28142896
The First Omen,The First Omen,Arkasha Stevenson,Nell Tiger Free,Ralph Ineson,Sônia Braga,30000000,53992802,2024,2024-04-03,119,6.9,1142,7.8446,Horror,United States of America,en,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",Create something to fear.,437342,tt5672290
1992,1992,Ariel Vromen,Tyrese Gibson,Scott Eastwood,Ray Liotta,6500000,2900000,2024,2024-08-29,96,6.962,171,7.438,Crime|Thriller|Action,United States of America,en,"In 1992, Mercer is desperately trying to rebuild his life and his relationship with his son amidst the turbulent Los Angeles uprising following the Rodney King verdict. Across town, another father and son put their own strained relationship to the test as they plot a dangerous heist to steal catalytic converters, which contain valuable platinum from the factory where Mercer works. As tensions rise and chaos erupts, both families reach their boiling points when their worlds collide.",Every city has a breaking point.,413846,tt4959750
Monkey Man,Monkey Man,Dev Patel,Dev Patel,Sikandar Kher,Makrand Deshpande,10000000,35271631,2024,2024-04-03,121,6.888,1200,7.3073,Action|Thriller,Canada|Singapore,en,"Kid is an anonymous young man who ekes out a meager living in an underground fight club where, night after night, wearing a gorilla mask, he is beaten bloody by more popular fighters for cash. After years of suppressed rage, Kid discovers a way to infiltrate the enclave of the city’s sinister elite. As his childhood trauma boils over, his mysteriously scarred hands unleash an explosive campaign of retribution to settle the score with the men who took everything from him.",One small ember can burn down everything.,560016,tt9214772
