movie_title,original_title,director_name,actor_1_name,actor_2_name,actor_3_name,budget,gross,title_year,release_date,duration,vote_average,vote_count,popularity,genres,country,original_language,overview,tagline,tmdb_id,imdb_id
Garay,Garay,Iñaki Oñate,Ana María Manrique,Gloria Miglione,Sofía Merlán,300,450,2023,2023-10-06,27,0.0,0,0.0193,Documentary|Mystery|History,,en,"Built in 1965 and located on Avenida Juan de Garay, in the San Telmo neighborhood of Buenos Aires, a residential building holds an extraordinary mystery that is part of the everyday lives of its tenants. An archetypal secret intersects the lives of the inhabitants of Garay, whose stories are intertwined with Argentine popular history, isolation and imagination.","An archetypal secret intersects the lives of the inhabitants of Garay, whose stories are intertwined with Argentine popular history, isolation and imagination.",1182262,tt23735840
Icebreaker,Icebreaker,Carolyn Robertson,Miranda Sherrill Madrigal,Hector Flores,,100,100,2023,2023-03-31,5,0.0,0,0.0168,Romance|Drama,United States of America,en,"Two teenagers meet on a blind date and get to know each other as their relationship grows. At first they label each other with superficial adjectives, but as they spend more time together, their views of each other begin to transcend first impressions.",What's under the surface?,1310801,
Azahriah: Papp László Arena,Azahriah: Papp László Aréna,,Baukó Attila,,,136,272,2023,2023-03-27,84,10.0,1,0.0168,Music,Hungary,hu,"Azahriah, the most appreciated artist on the hungarian music scene currently, takes over the second largest indoor venue in all of Hungary!",MAGYARORSZÁG BÜSZKESÉGE!,1323841,
Overbruggen,Overbruggen,Eef Caubo,Paul Seuren,Truus van Heyster,Sjraar van Beek,50,150,2023,2023-05-21,0,0.0,0,0.0168,War|Documentary,Netherlands,nl,,,1131138,
Heirloom: Guitar,Heirloom: Guitar,,,,,1000,1000,2023,2023-10-01,70,0.0,0,0.0168,,,en,"Follow the journey of the steel string, acoustic guitar from humble beginnings to the world's most popular instrument. Musicologist Greg Reish explains how what was basically a quiet instrument played in parlors went on to become one played by the biggest stars in music. Each segment shows how the guitar progressed and is supplemented with music played by top musicians, including Rissi Palmer, Bryan Sutton, David Grier, Trey Hensley, Florence Dore, and more. Then, audiences see a luthier build a custom guitar, every step of the process. This is a film that will inform the curious and satisfy fans of the acoustic guitar.",,1166832,tt21744076
I Killed Her,I Killed Her,Gabriel Juárez,Mario Guzmán,Daniel Villanueva,Gabriel Juárez,160,160,2023,2023-12-01,0,0.0,0,0.0143,Mystery|Thriller|Drama,,es,,,1212726,tt31021587
Aún no es Hora,Aún no es Hora,Samuel Muñoz,Santiago Castrellón,Aldo Maria Orjuela,Martin Santos,604,767,2023,2023-10-29,9,9.0,1,0.0143,Science Fiction|Mystery|Thriller,Colombia,es,"A student begins to have sleep lapses in the middle of classes, and finds a murky past in his dreams.",You are late.,1278587,tt31091764
"Astana Elephant, or Dude - Water Winner-2","Астанинский слоник, или Лох — победитель воды-2",Andrey Veshurov,Andrey Veshurov,Амир Жолмухамедов,,163,54,2023,2023-12-03,37,7.0,1,0.0143,Documentary,Kazakhstan,ru,"Film about the special screening of ""The Notorious Generation: The Green Elephant 2"" in Astana and related events",,1213072,
Ah My! Is Ann ill?,Ah My! Is Ann ill?,Adithya Muthukumar,Saagar Prasad,Pranaav Dhakshesh,Naveen Karthick,69,420,2023,2023-09-11,8,0.0,0,0.0143,Comedy,,en,"In this single-shot short film, two friends get drunk together -until one of them drops dead.",Ippo podunga background song!,1115222,tt27547511
Palácio de Sal,Palácio de Sal,Daví Krasilchik,Luis Galves,Bianca Duarte,,2000,100,2023,2023-10-19,0,0.0,0,0.0143,Fantasy|Drama,Brazil,pt,,,1214023,
The Debacle of Mr. Eastward,The Debacle of Mr. Eastward,Boden Ford,Rowan Campbell,Riley Cardiff,"Tanner ""Sarge"" Deal",1000,20,2023,2023-06-11,21,10.0,1,0.0143,Comedy|Drama,,en,"Weston Eastward, owner of a small delivery service, hires Garrett Britches to deliver packages to unusual clients, whom lead Garret to a dark secret.","""Get in the hole!""",1148518,tt28137674
H-151: Perfect Machine,H-151: Perfect Machine,Iñaki Oñate,Magdalena Mayorga,Iñaki Oñate,,200,500,2023,2023-10-02,15,0.0,0,0.0143,Animation|Action|Crime|Drama|Family|Fantasy|Science Fiction,,en,H-151 is an android that suddenly starts to have human memories. Humanity seeks to resist despite the power and indifference of the machines.,H-151 is an android that suddenly starts to have human memories.,1182271,tt29045246
Party Mix Vol.1,Party Mix Vol.1,,,,,28,102,2023,2023-06-23,49,6.0,1,0.0143,Music,Indonesia,en,"Party Mix Vol.1 is a music genre video that was released in 2023. This video is 49 minutes long, making every listener feel like dancing to the DJ's music.",,625767,tt28289318
Grace Estrela,Grace Estrela,IK,Adouglas Scofield,Flora Zahirah,Kai Kobayashi,142,100,2023,2023-12-08,0,10.0,1,0.0143,Drama,,pt,,,1216151,tt30399855
Blithe Spirit,Blithe Spirit,Bill Andrews,Justin Collins,Annie Sinatra,Gabrielle Warner,5000,6000,2023,2023-04-20,140,10.0,1,0.0143,Drama|Comedy|Romance|Horror|Mystery,United States of America,en,"What happens when you accidentally seem to have summoned the spirit of your late wife who now haunts you while you live with your NEW wife…? Lots of laughter, that’s what.","What kind of problems would you have if your ""Passed On"" first wife showed up?",1216632,
Kalakaar,Kalakaar,Aabir Ghosh,Harsh Singh,Piyush Shrivastava,Ojasw Tiwari,10,100,2023,2023-08-15,30,8.0,1,0.0143,,,en,Kalakaar is a film that deals with the everyday life of an aspiring artist named Sandip with big dreams of making it to Mumbai as a successful artist. It showcases a poignant portrait of how struggle for success can affect the protagonist.,an artist's portrait,1216917,
Bequest,Bequest,,Richard Pines,Richard Pines,Imelda Paclibar,5000,5000,2023,2023-10-01,26,0.0,0,0.0143,Drama,,en,Greed destroys relationships mental illness destroys lives,Greed destroys relationships mental illness destroys lives,1186191,tt7023634
