date,category_code,category_name,value_millions,seasonally_adjusted,source,extraction_timestamp
2015-06-01,441,Motor Vehicle and Parts Dealers,1.99,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,1.89,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,1.86,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,2.07,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,2.16,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,2.35,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,2.13,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,0.03,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,0.02,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,0.02,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,0.02,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,0.02,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,0.02,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,0.02,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,0.02,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,0.02,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,0.02,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,0.02,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,0.02,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,2.09,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,2.13,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,2.04,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,2.05,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,2.04,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,2.06,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,2.06,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,2.07,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,2.09,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,2.12,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,2.1,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,2.12,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,0.03,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,0.02,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,0.02,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,0.02,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,0.02,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,0.02,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,0.02,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,0.02,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,0.02,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,0.02,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,0.02,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,0.02,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,-0.4,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,0.1,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,0.6,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,2.1,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,-2.4,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,0.9,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,-1.6,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,-1.3,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,3.1,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,3.7,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,1.4,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,0.8,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,0.2,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,0.9,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,0.3,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,0.2,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,0.2,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,0.1,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,0.2,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,0.2,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,0.3,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,0.2,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,0.2,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,0.3,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,-0.5,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,0.2,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,0.3,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,1.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,0.5,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,0.6,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,0.8,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,0.8,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,1.5,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,0.7,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,0.3,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,0.5,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,0.2,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,0.9,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,0.3,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,0.2,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,0.2,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,0.1,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,0.2,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,0.2,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,0.3,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,0.2,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,0.2,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,0.3,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,-9.5,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,1.2,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,21.5,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,-2.8,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,4.2,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,-2.9,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,3.5,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,0.2,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,-7.2,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,-0.4,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,-6.9,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,10.9,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,0.4,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,0.9,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,0.4,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,0.4,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,0.3,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,0.3,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,0.3,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,0.3,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,0.3,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,0.3,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,0.2,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,0.5,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,1.4,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,-1.6,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,4.6,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,0.6,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,0.8,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,-0.2,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,0.5,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,0.7,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,0.5,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,-0.9,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,1.2,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,-0.3,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,0.4,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,0.9,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,0.4,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,0.4,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,0.3,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,0.3,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,0.3,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,0.3,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,0.3,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,0.3,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,0.2,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
