date,category_code,data_type_code,value_millions,seasonally_adjusted,source,extraction_timestamp
2015-03-01,01XX,E_MPCT,1.8,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-04-01,01XX,E_MPCT,2.2,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-05-01,01XX,E_MPCT,1.7,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-06-01,01XX,E_MPCT,2.6,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-07-01,01XX,E_MPCT,1.4,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-08-01,01XX,E_MPCT,1.5,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-09-01,01XX,E_MPCT,1.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-10-01,01XX,E_MPCT,1.5,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-11-01,01XX,E_MPCT,1.2,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-12-01,01XX,E_MPCT,1.1,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-01-01,01XX,MPCT,0.5,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-02-01,01XX,MPCT,0.7,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-03-01,01XX,MPCT,1.1,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-04-01,01XX,MPCT,5.3,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-05-01,01XX,MPCT,7.1,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-06-01,01XX,MPCT,7.0,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-07-01,01XX,MPCT,-3.5,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-08-01,01XX,MPCT,6.1,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-09-01,01XX,MPCT,0.0,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-10-01,01XX,MPCT,-2.5,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-11-01,01XX,MPCT,-1.9,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-12-01,01XX,MPCT,1.6,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-01-01,01XX,E_MPCV,1.3,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-02-01,01XX,E_MPCV,1.8,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-03-01,01XX,E_MPCV,1.9,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-04-01,01XX,E_MPCV,2.2,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-05-01,01XX,E_MPCV,1.7,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-06-01,01XX,E_MPCV,2.6,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-07-01,01XX,E_MPCV,1.4,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-08-01,01XX,E_MPCV,1.6,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-09-01,01XX,E_MPCV,1.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-10-01,01XX,E_MPCV,1.6,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-11-01,01XX,E_MPCV,1.2,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-12-01,01XX,E_MPCV,1.1,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-01-01,01XX,MPCV,0.2,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-02-01,01XX,MPCV,0.9,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-03-01,01XX,MPCV,1.1,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-04-01,01XX,MPCV,5.8,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-05-01,01XX,MPCV,7.6,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-06-01,01XX,MPCV,6.5,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-07-01,01XX,MPCV,-4.1,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-08-01,01XX,MPCV,6.5,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-09-01,01XX,MPCV,-1.7,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-10-01,01XX,MPCV,-1.1,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-11-01,01XX,MPCV,-1.4,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-12-01,01XX,MPCV,1.6,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-01-01,01XX,T,1476.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-02-01,01XX,T,1525.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-03-01,01XX,T,1607.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-04-01,01XX,T,1711.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-05-01,01XX,T,1870.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-06-01,01XX,T,1994.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-07-01,01XX,T,1914.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-08-01,01XX,T,2034.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-09-01,01XX,T,2037.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-10-01,01XX,T,1992.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-11-01,01XX,T,1926.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-12-01,01XX,T,1928.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-01-01,01XX,E_T,3.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-02-01,01XX,E_T,2.7,False,CENSUS_VIP,2025-10-25 23:13:59.510435
