source,url,published,title,headline_vader,finbert_neg,finbert_neu,finbert_pos,finbert_score,lang,match_metals,match_adjacent_industries
Unknown,https://www.bordermail.com.au/story/9099109/rod-henderson-tomago-aluminium-powering-nsws-energy-future/,20251028T190000Z,Rod Henderson | Tomago Aluminium : powering NSW energy future | The Border Mail,0.2732,0.01000168826431036,0.6968321204185486,0.2931661605834961,0.28316447231918573,en,True,True
Unknown,https://www.manningrivertimes.com.au/story/9099109/rod-henderson-tomago-aluminium-powering-nsws-energy-future/,20251028T200000Z,Rod Henderson | Tomago Aluminium : powering NSW energy future | Manning River Times,0.2732,0.01000168826431036,0.6968321204185486,0.2931661605834961,0.28316447231918573,en,True,True
Unknown,https://www.bluemountainsgazette.com.au/story/9099109/rod-henderson-tomago-aluminium-powering-nsws-energy-future/,20251028T200000Z,Rod Henderson | Tomago Aluminium : powering NSW energy future | Blue Mountains Gazette,0.2732,0.009909828193485737,0.7027298808097839,0.2873603403568268,0.27745051216334105,en,True,True
Unknown,https://www.goulburnpost.com.au/story/9099109/rod-henderson-tomago-aluminium-powering-nsws-energy-future/,20251028T204500Z,Rod Henderson | Tomago Aluminium : powering NSW energy future | Goulburn Post,0.2732,0.01000168826431036,0.6968321204185486,0.2931661605834961,0.28316447231918573,en,True,True
Unknown,https://www.northerndailyleader.com.au/story/9099109/rod-henderson-tomago-aluminium-powering-nsws-energy-future/,20251028T211500Z,Rod Henderson | Tomago Aluminium : powering NSW energy future | The Northern Daily Leader,0.2732,0.01000168826431036,0.6968321204185486,0.2931661605834961,0.28316447231918573,en,True,True
Unknown,https://www.mudgeeguardian.com.au/story/9099109/rod-henderson-tomago-aluminium-powering-nsws-energy-future/,20251028T194500Z,Rod Henderson | Tomago Aluminium : powering NSW energy future | Mudgee Guardian,0.2732,0.01000168826431036,0.6968321204185486,0.2931661605834961,0.28316447231918573,en,True,True
Unknown,https://cleantechnica.com/2025/10/27/rio-tinto-goes-its-own-way-with-renewable-energy/,20251028T060000Z,Rio Tinto Goes Its Own Way With Renewable Energy,0.2732,0.015428448095917702,0.7587170004844666,0.22585457563400269,0.21042612753808498,en,True,True
Unknown,https://www.watoday.com.au/business/the-economy/not-commercially-viable-aluminium-giant-faces-potential-closure-20251028-p5n5ra.html,20251028T024500Z,Tomago Aluminium : Australia largest smelter consults workers over potential closure,0.0,0.8946205377578735,0.06848175823688507,0.03689780831336975,-0.8577227294445038,en,True,True
Unknown,https://www.miningmx.com/news/ferrous-metals/62928-glencore-merafe-registers-51-slump-in-ferrochrome-output/,20251029T091500Z,Glencore - Merafe registers 51 % slump in ferrochrome output,0.0,0.9733874201774597,0.01935572363436222,0.007256823591887951,-0.9661305965855718,en,True,True
Unknown,https://www.marketscreener.com/news/australia-s-largest-aluminum-smelter-considers-closure-as-high-energy-prices-bite-ce7d5ddfde8ff624,20251028T061500Z,Australia Largest Aluminum Smelter Considers Closure as High Energy Prices Bite,0.2732,0.04623046889901161,0.8197739124298096,0.1339956372976303,0.0877651683986187,en,True,True
Unknown,https://www.perthnow.com.au/news/business/federal-government-talking-with-tomago-smelter-owners-after-closure-warning-c-20494439,20251028T024500Z,Federal government talking with Tomago smelter owners after closure warning,-0.34,0.9302335381507874,0.05126620829105377,0.01850016601383686,-0.9117333721369505,en,True,True
Unknown,https://www.perthnow.com.au/news/business/tasmania-slams-labors-1-billion-tomago-bailout-amid-bell-bay-aluminium-crisis-c-20503940,20251028T220000Z,Tasmania slams Labor $1 billion Tomago bailout amid Bell Bay Aluminium crisis,-0.6705,0.9195979833602905,0.06015400588512421,0.020248016342520714,-0.8993499670177698,en,True,True
